lat,lon,dbh_in,condition,height_m,match_distance_m
40.785262,-73.971529,12,Unknown,13.1,1.55
40.772211,-73.960288,24,Unknown,17.9,2.55
40.783828,-73.956135,18,Poor,10.9,2.35
40.769181,-73.949437,2,Dead,13.4,8.52
40.769126,-73.949254,5,Poor,13.4,24.83
40.784157,-73.953030,14,Unknown,11.9,2.09
40.786968,-73.949365,1,Unknown,14.5,2.87
40.773234,-73.964917,5,Unknown,5.7,1.42
40.777624,-73.953413,1,Unknown,10.7,1.56
40.791856,-73.964913,24,Dead,14.0,2.52
40.774184,-73.954834,16,Good,11.2,1.45
40.775932,-73.956978,16,Poor,28.4,2.15
40.790760,-73.966479,14,Fair,20.7,1.41
40.792519,-73.966489,8,Good,8.8,1.04
40.769287,-73.963716,9,Dead,14.7,1.58
40.765756,-73.965065,16,Unknown,11.2,2.34
40.788619,-73.979170,26,Fair,18.0,2.35
40.784092,-73.952869,15,Poor,11.7,1.79
40.777063,-73.951806,1,Dead,12.9,2.10
40.784253,-73.951024,20,Dead,13.8,3.46
40.786929,-73.949259,4,Unknown,15.8,3.66
40.769257,-73.949566,30,Dead,16.9,3.56
40.784319,-73.951178,18,Dead,16.9,2.11
40.775229,-73.957566,15,Good,17.0,1.39
40.786916,-73.949236,1,Unknown,15.8,6.05
40.769161,-73.949342,17,Fair,13.4,16.44
40.778952,-73.952349,10,Dead,11.6,1.34
40.788604,-73.979136,27,Fair,16.4,3.23
40.767651,-73.967633,8,Dead,9.9,3.55
40.769294,-73.949660,21,Fair,14.6,2.79
40.781815,-73.977168,14,Dead,12.9,1.48
40.768983,-73.949363,23,Good,11.6,19.11
40.790602,-73.978025,9,Fair,5.6,2.90
40.784376,-73.951312,16,Dead,12.4,1.27
40.786945,-73.949303,4,Unknown,15.8,0.62
40.772839,-73.961773,3,Unknown,5.2,1.01
40.789309,-73.979128,12,Unknown,9.1,0.68
40.773227,-73.964897,6,Good,5.7,0.61
40.769306,-73.963505,20,Dead,17.6,3.21
40.786981,-73.949390,5,Unknown,14.5,5.43
40.768830,-73.949490,24,Fair,11.5,5.09
40.768922,-73.949416,20,Fair,11.6,11.60
40.781099,-73.977683,18,Fair,13.2,1.90
40.781207,-73.977936,14,Fair,13.5,2.16
40.774767,-73.978664,11,Fair,8.6,2.77
40.774971,-73.978870,16,Fair,13.3,2.05
40.790746,-73.978382,5,Unknown,4.9,0.72
40.775960,-73.981243,15,Fair,13.4,1.06
40.787661,-73.951030,4,Dead,16.2,3.18
40.767110,-73.969950,18,Fair,19.0,2.05
40.775012,-73.978963,14,Fair,14.2,0.76
40.783248,-73.952972,3,Excellent,12.0,13.74
40.774824,-73.978539,11,Good,10.4,2.36
40.799380,-73.953191,12,Dead,9.3,1.37
40.775858,-73.981000,12,Fair,13.6,1.49
40.775191,-73.979410,13,Good,14.5,2.76
40.768319,-73.952993,16,Unknown,10.6,4.43
40.775097,-73.979448,12,Poor,12.1,0.48
40.771621,-73.961106,24,Dead,14.6,3.43
40.775051,-73.979067,18,Good,16.1,3.10
40.766546,-73.970551,18,Fair,13.7,1.73
40.780966,-73.977370,18,Fair,13.0,1.74
40.774933,-73.979058,2,Good,15.8,3.23
40.768329,-73.953040,15,Good,10.6,1.74
40.774589,-73.978241,9,Good,11.9,2.68
40.776477,-73.954623,12,Unknown,19.0,2.61
40.780842,-73.977076,19,Good,15.6,2.56
40.783673,-73.951859,3,Excellent,14.4,2.22
40.775093,-73.979165,14,Good,13.7,2.84
40.774470,-73.949858,12,Unknown,9.0,3.41
40.766116,-73.958140,18,Good,14.9,3.29
40.769424,-73.955909,16,Unknown,14.9,2.50
40.768670,-73.962002,17,Fair,12.2,1.20
40.784316,-73.955341,14,Fair,14.5,0.24
40.779090,-73.952689,10,Good,7.5,1.43
40.796231,-73.967850,20,Good,18.1,2.82
40.769383,-73.962006,13,Fair,15.3,2.69
40.775601,-73.978443,11,Good,10.2,1.65
40.793285,-73.966019,18,Good,13.2,3.09
40.782913,-73.953675,17,Good,15.9,2.54
40.783735,-73.955914,14,Fair,14.4,1.02
40.794889,-73.964765,8,Good,7.3,1.21
40.783489,-73.953111,13,Fair,10.1,3.18
40.783075,-73.954062,20,Poor,17.0,2.63
40.785585,-73.953015,15,Fair,14.0,2.03
40.784344,-73.955408,16,Unknown,14.1,1.20
40.775760,-73.978821,12,Good,13.3,0.68
40.782877,-73.953588,23,Good,13.0,2.70
40.769302,-73.959331,20,Dead,12.8,0.62
40.778922,-73.952290,12,Unknown,10.3,1.93
40.775961,-73.979299,12,Good,7.4,2.19
40.775275,-73.977667,13,Good,12.2,0.61
40.768707,-73.962089,15,Good,13.9,1.94
40.795114,-73.965177,22,Good,12.1,2.74
40.782957,-73.953780,15,Good,14.3,1.99
40.783351,-73.953047,12,Dead,12.2,1.62
40.786175,-73.953908,6,Fair,7.7,2.35
40.769348,-73.959442,15,Fair,16.9,0.78
40.793225,-73.965877,18,Good,12.8,1.37
40.783121,-73.954173,16,Fair,20.5,3.76
40.786542,-73.970093,13,Fair,13.3,2.89
40.782836,-73.953492,13,Good,10.8,1.18
40.793465,-73.966447,19,Good,12.2,2.99
40.775859,-73.979048,12,Fair,8.5,2.42
40.783603,-73.955604,12,Dead,11.8,1.68
40.768827,-73.956196,17,Fair,13.9,0.98
40.781845,-73.953979,3,Dead,8.3,11.14
40.787867,-73.979414,16,Unknown,11.3,2.28
40.776005,-73.979404,16,Fair,12.5,2.58
40.793405,-73.966305,20,Good,10.2,2.86
40.783000,-73.953882,17,Good,17.8,2.28
40.782413,-73.951513,18,Unknown,10.1,1.14
40.768795,-73.968120,7,Dead,8.0,1.42
40.784398,-73.955537,12,Fair,13.6,0.98
40.783415,-73.953199,18,Dead,13.0,0.66
40.782841,-73.951191,17,Fair,13.6,2.30
40.782797,-73.953397,15,Good,9.6,1.84
40.775330,-73.977797,17,Fair,11.5,2.01
40.781693,-73.979097,1,Unknown,4.1,0.73
40.783634,-73.955677,13,Good,11.8,0.72
40.783681,-73.955787,13,Good,14.2,3.13
40.793339,-73.966147,18,Good,9.6,2.54
40.778585,-73.962702,5,Good,7.9,13.12
40.776338,-73.978250,2,Dead,9.5,6.42
40.775483,-73.978119,14,Dead,11.0,4.27
40.783033,-73.953963,17,Good,16.2,1.53
40.783746,-73.954828,18,Fair,15.6,4.03
40.783530,-73.953206,13,Good,13.6,1.90
40.793042,-73.965446,18,Good,13.2,2.03
40.775384,-73.977926,12,Poor,10.0,2.02
40.783707,-73.955848,11,Fair,14.8,2.49
40.768758,-73.962209,1,Dead,14.2,2.40
40.775712,-73.978707,13,Good,11.9,3.01
40.780312,-73.975350,11,Dead,16.7,4.24
40.775951,-73.957333,17,Dead,16.6,4.02
40.788370,-73.972739,20,Fair,15.5,1.45
40.780643,-73.975953,19,Dead,25.0,2.87
40.783626,-73.955370,13,Fair,13.2,3.18
40.779738,-73.952007,12,Unknown,9.5,2.03
40.779749,-73.973824,21,Good,19.2,1.91
40.780560,-73.975751,16,Dead,21.0,1.88
40.779967,-73.974348,24,Good,21.4,1.89
40.785519,-73.955966,14,Good,19.3,0.44
40.768393,-73.959402,12,Fair,14.5,2.06
40.779711,-73.973921,3,Dead,16.8,2.97
40.779787,-73.974100,4,Fair,20.0,3.05
40.782387,-73.972356,6,Unknown,52.4,2.29
40.783667,-73.955466,15,Dead,14.2,2.30
40.775416,-73.957751,20,Unknown,14.6,3.06
40.794836,-73.973634,26,Fair,19.5,3.00
40.782987,-73.974207,6,Dead,15.7,0.71
40.782879,-73.974041,17,Good,19.3,2.96
40.779724,-73.973766,0,Dead,19.2,2.33
40.783553,-73.955198,15,Good,13.7,2.53
40.784873,-73.956400,12,Unknown,7.2,1.48
40.783710,-73.955568,16,Fair,12.5,2.32
40.787624,-73.972660,18,Good,14.6,1.28
40.788390,-73.972787,17,Fair,16.4,3.14
40.779909,-73.974208,19,Dead,14.4,1.67
40.779794,-73.973940,15,Good,18.5,3.39
40.780671,-73.976020,15,Fair,24.1,3.78
40.780614,-73.975888,22,Good,25.0,4.39
40.779113,-73.974946,15,Dead,12.2,1.45
40.781575,-73.976859,14,Fair,14.2,2.53
40.778036,-73.976084,10,Good,10.7,1.28
40.778873,-73.976346,12,Fair,11.9,1.86
40.797710,-73.971541,17,Fair,12.6,3.75
40.778872,-73.978057,12,Fair,11.5,1.46
40.778011,-73.976024,12,Good,11.7,2.76
40.781324,-73.976261,9,Dead,8.4,1.70
40.778833,-73.976250,4,Fair,5.2,5.62
40.787229,-73.978922,17,Dead,44.0,3.43
40.788237,-73.978201,20,Dead,19.5,1.58
40.781474,-73.972254,3,Dead,13.4,3.24
40.796603,-73.960937,24,Good,17.2,4.71
40.780188,-73.979473,22,Fair,16.3,3.49
40.780402,-73.976736,17,Good,10.7,1.13
40.779772,-73.973490,3,Dead,3.0,1.55
40.779609,-73.975875,20,Dead,18.2,0.35
40.778994,-73.978347,13,Poor,12.6,1.86
40.779085,-73.976598,3,Excellent,21.8,7.28
40.784175,-73.980550,11,Dead,8.6,1.19
40.797364,-73.971792,12,Good,12.5,0.52
40.778759,-73.975825,13,Dead,13.3,2.46
40.778523,-73.977237,10,Fair,11.2,1.60
40.781779,-73.977344,14,Fair,13.3,3.94
40.778918,-73.976452,5,Good,13.5,8.79
40.779579,-73.975803,5,Excellent,17.8,3.62
40.781570,-73.972184,3,Dead,15.5,0.78
40.787233,-73.979183,14,Dead,16.1,2.36
40.781531,-73.976755,17,Fair,16.4,2.11
40.778278,-73.976657,11,Fair,10.6,1.76
40.787838,-73.978477,15,Critical,9.9,2.97
40.787125,-73.951706,19,Good,14.8,2.61
40.766188,-73.958057,11,Good,14.2,3.01
40.792090,-73.969617,13,Fair,14.0,0.77
40.792410,-73.970266,0,Dead,14.3,2.13
40.796571,-73.967900,22,Good,19.1,2.97
40.797357,-73.967778,26,Good,17.1,2.93
40.769288,-73.953337,13,Fair,13.1,0.78
40.796526,-73.967791,23,Fair,20.8,3.40
40.797487,-73.967683,15,Good,15.3,3.24
40.797009,-73.968032,20,Good,16.0,4.37
40.792300,-73.970115,11,Fair,12.7,0.82
40.796781,-73.968198,20,Good,15.6,2.15
40.769023,-73.952989,15,Good,22.4,2.01
40.796480,-73.967683,10,Fair,20.6,2.52
40.792179,-73.969829,11,Fair,12.5,2.25
40.796660,-73.968110,24,Dead,15.9,3.18
40.798474,-73.965394,3,Good,8.8,14.72
40.797559,-73.967631,16,Good,14.7,4.18
40.792390,-73.970205,0,Dead,15.3,2.06
40.797086,-73.967976,20,Good,16.0,3.98
40.792143,-73.969743,14,Fair,14.8,2.76
40.796859,-73.968141,18,Good,14.2,3.22
40.796614,-73.968002,20,Dead,17.1,5.25
40.797280,-73.967834,21,Good,17.7,3.05
40.792219,-73.969924,13,Good,13.3,2.00
40.796935,-73.968086,20,Good,16.9,2.78
40.797412,-73.967738,16,Good,14.2,3.53
40.782447,-73.974942,21,Good,21.6,2.51
40.784007,-73.972230,10,Fair,10.3,2.18
40.782859,-73.973925,4,Poor,18.6,2.10
40.784763,-73.970346,11,Poor,7.1,2.21
40.782834,-73.974699,5,Good,9.3,2.52
40.784220,-73.972737,13,Good,13.9,2.10
40.787628,-73.968759,13,Fair,13.4,1.67
40.790063,-73.969380,17,Good,12.7,2.98
40.784899,-73.972379,14,Unknown,12.6,0.31
40.782725,-73.974778,3,Good,25.4,2.98
40.782753,-73.973743,18,Fair,21.4,3.85
40.798494,-73.971146,4,Fair,5.2,8.46
40.784055,-73.972344,11,Good,28.2,2.35
40.784845,-73.970282,4,Dead,8.7,8.40
40.782672,-73.974778,0,Dead,21.5,4.14
40.782702,-73.973624,15,Good,20.0,2.08
40.782805,-73.974681,18,Dead,27.4,4.47
40.782194,-73.975126,24,Dead,24.0,1.53
40.790027,-73.969446,6,Fair,12.8,2.84
40.787582,-73.968650,16,Poor,12.2,2.80
40.781522,-73.975615,16,Good,19.9,3.38
40.789940,-73.968762,20,Good,14.2,1.11
40.799214,-73.966423,27,Fair,13.6,1.69
40.781687,-73.975496,26,Good,18.3,2.06
40.787323,-73.969999,14,Good,12.6,1.62
40.789752,-73.969651,7,Dead,7.0,2.92
40.791153,-73.967413,12,Good,16.9,3.53
40.782954,-73.974228,4,Poor,19.0,2.82
40.789916,-73.968369,15,Good,20.3,3.08
